__run_id,__done,model,method,length,topic,execution_time,%cpu_usage,%gpu_usage,%memory_usage,codecarbon__energy_consumed,energy_consumed(J)
run_20_repetition_8,DONE,phi3:3.8b,local,1000,List of Marvel Cinematic Universe films,56.442082,3.658,98.768,76.164,0.0001617343003,582.2434812
run_7_repetition_4,DONE,gemma:2b,local,500,Barack Obama,17.681101,3.89,88.756,62.8,1.90E-05,6.83E+01
run_11_repetition_19,DONE,gemma:2b,remote,1000,Arnold Schwarzenegger,9.872534,6.167,0.53,63.667,5.79E-06,2.09E+01
run_14_repetition_10,DONE,gemma:7b,local,1000,Muhammad Ali,40.933897,2.687,88.223,76.613,0.0001213453872,436.843394
run_15_repetition_3,DONE,gemma:7b,remote,100,Johnny Depp,8.775099,13.9,0.728,60.15,3.95E-06,1.42E+01
run_14_repetition_8,DONE,gemma:7b,local,1000,Stephen Hawking,39.835838,3.037,88.532,84.453,0.0001157888387,416.8398194
run_41_repetition_16,DONE,mistral:7b,remote,1000,Donald Trump,14.279763,5.429,0.225,53.214,1.33E-05,4.79E+01
run_33_repetition_19,DONE,qwen2:7b,remote,100,Adolf Hitler,9.855952,6.167,0.561,57.967,5.82E-06,2.10E+01
run_13_repetition_7,DONE,gemma:7b,local,500,Taylor Swift,31.824135,2.513,97.319,84.825,0.0002241347823,806.8852163
run_37_repetition_22,DONE,mistral:7b,local,500,Nicki Minaj,46.50158,16.511,92.492,74.925,0.0001315976005,473.7513619
run_12_repetition_3,DONE,gemma:7b,local,100,France,22.201024,4.293,72.627,83.414,5.31E-05,1.91E+02
run_37_repetition_26,DONE,mistral:7b,local,500,Winston Churchill,43.179183,2.879,92.088,74.821,0.0001255586752,452.0112307
run_1_repetition_27,DONE,llama3.1:8b,local,500,Vietnam War,50.940087,3.508,91.931,75.665,0.0001425067415,513.0242696
run_32_repetition_6,DONE,qwen2:7b,local,1000,Charles III,43.189395,3.7,94.453,70.124,0.0001302266508,468.815943
run_19_repetition_21,DONE,phi3:3.8b,local,500,Stephen Hawking,34.300728,3.804,98.481,67.7,8.34E-05,3.00E+02
run_18_repetition_29,DONE,phi3:3.8b,local,100,Tom Cruise,15.458149,4.8,86.456,66.038,1.53E-05,5.50E+01
run_29_repetition_28,DONE,qwen2:1.5b,remote,1000,Adolf Hitler,9.857632,8.2,0.451,52.4,5.86E-06,2.11E+01
run_4_repetition_4,DONE,llama3.1:8b,remote,500,Titanic,16.50659,3.111,0.154,57.544,1.69E-05,6.10E+01
run_23_repetition_10,DONE,phi3:3.8b,remote,1000,World War II,17.60509,2.43,0.192,65.57,1.89E-05,6.80E+01
run_23_repetition_7,DONE,phi3:3.8b,remote,1000,Australia,13.17845,2.967,0.254,46.917,1.15E-05,4.12E+01
run_14_repetition_25,DONE,gemma:7b,local,1000,Charles III,40.921382,3.194,86.12,84.894,0.0001059700269,381.4920969
run_37_repetition_18,DONE,mistral:7b,local,500,Lady Gaga,42.02347,3.556,95.01,74.744,0.0001237884741,445.6385069
run_30_repetition_13,DONE,qwen2:7b,local,100,Earth,17.704144,3.16,65.971,70.57,1.89E-05,6.79E+01
run_1_repetition_4,DONE,llama3.1:8b,local,500,Manchester United F.C.,43.187529,4.333,90.275,75.176,0.0001283243605,461.9676977
run_0_repetition_29,DONE,llama3.1:8b,local,100,Jennifer Aniston,18.754029,3.982,64.459,70.427,2.08E-05,7.47E+01
run_35_repetition_19,DONE,qwen2:7b,remote,1000,Charles Manson,19.839102,3.525,0.259,58.05,2.27E-05,8.17E+01
run_29_repetition_17,DONE,qwen2:1.5b,remote,1000,Lil Wayne,8.771938,7.45,0.273,67.9,3.96E-06,1.43E+01
run_39_repetition_13,DONE,mistral:7b,remote,100,Arnold Schwarzenegger,8.777581,16.6,0.832,58.5,3.94E-06,1.42E+01
run_7_repetition_1,DONE,gemma:2b,local,500,Kobe Bryant,15.435094,10.988,92.513,60.962,1.54E-05,5.56E+01
run_9_repetition_20,DONE,gemma:2b,remote,100,Ryan Reynolds,7.681939,18.6,1.58,67,2.08E-06,7.48E+00
run_13_repetition_21,DONE,gemma:7b,local,500,Nicki Minaj,35.443044,3.969,95.986,86.123,9.22E-05,3.32E+02
run_35_repetition_25,DONE,qwen2:7b,remote,1000,Rihanna,15.404584,2.912,0.166,45.5,1.51E-05,5.45E+01
run_37_repetition_6,DONE,mistral:7b,local,500,William Shakespeare,44.300111,3.344,92,69.465,0.0001276244359,459.4479693
run_12_repetition_22,DONE,gemma:7b,local,100,Australia,21.024188,4.831,69.837,82.862,2.48E-05,8.93E+01
run_35_repetition_8,DONE,qwen2:7b,remote,1000,Selena Gomez,17.616083,4.42,0.216,55.18,1.88E-05,6.76E+01
run_11_repetition_2,DONE,gemma:2b,remote,1000,Tom Brady,9.82926,6.6,0.139,54.767,5.82E-06,2.10E+01
run_41_repetition_3,DONE,mistral:7b,remote,1000,John F. Kennedy,14.30439,4.214,0.193,63.843,1.33E-05,4.78E+01
run_22_repetition_11,DONE,phi3:3.8b,remote,500,The Walking Dead (TV series),12.011312,5.28,0.303,54.5,9.53E-06,3.43E+01
run_19_repetition_24,DONE,phi3:3.8b,local,500,Manchester United F.C.,38.730064,6.772,98.545,74.41,0.000107012157,385.2437652
run_37_repetition_0,DONE,mistral:7b,local,500,Harry Potter,37.643886,2.964,97.366,75.325,0.0001075575437,387.2071572
run_40_repetition_0,DONE,mistral:7b,remote,500,Donald Trump,13.210604,10.217,0.343,65.933,1.15E-05,4.12E+01
run_28_repetition_24,DONE,qwen2:1.5b,remote,500,Arnold Schwarzenegger,9.875206,6.5,0.532,54.767,5.83E-06,2.10E+01
run_25_repetition_2,DONE,qwen2:1.5b,local,500,Cristiano Ronaldo,13.244764,6.167,83.43,62.767,1.15E-05,4.15E+01
run_12_repetition_15,DONE,gemma:7b,local,100,Bruce Lee,15.408477,4.037,86.616,85.525,1.51E-05,5.45E+01
run_30_repetition_5,DONE,qwen2:7b,local,100,Elon Musk,19.90128,3.25,71.224,71.642,2.27E-05,8.18E+01
run_31_repetition_19,DONE,qwen2:7b,local,500,"Meghan, Duchess of Sussex",44.232726,3.938,90.456,72.932,0.0001308402006,471.0247223
run_1_repetition_13,DONE,llama3.1:8b,local,500,Scarlett Johansson,43.14243,7.47,89.479,74.821,0.0001274597129,458.8549666
run_26_repetition_2,DONE,qwen2:1.5b,local,1000,Barack Obama,19.870754,3.4,98.305,62.567,2.26E-05,8.15E+01
run_2_repetition_14,DONE,llama3.1:8b,local,1000,Donald Trump,67.537956,3.24,93.101,72.547,0.0002100558905,756.2012057
run_19_repetition_23,DONE,phi3:3.8b,local,500,Titanic,38.769895,2.879,95.462,64.4,0.0001065453215,383.5631576
run_31_repetition_25,DONE,qwen2:7b,local,500,Israel,48.719979,18.963,91.614,65.208,0.0001404176268,505.5034566
run_8_repetition_3,DONE,gemma:2b,local,1000,Adolf Hitler,17.645203,4.59,99.279,62.8,1.89E-05,6.81E+01
run_13_repetition_15,DONE,gemma:7b,local,500,Chernobyl disaster,35.472728,3.027,90.328,84.685,9.15E-05,3.29E+02
run_4_repetition_18,DONE,llama3.1:8b,remote,500,John Cena,14.332938,4.114,0.224,75.857,1.33E-05,4.79E+01
run_20_repetition_1,DONE,phi3:3.8b,local,1000,Japan,35.424569,9.981,94.27,67.823,8.54E-05,3.07E+02
run_33_repetition_7,DONE,qwen2:7b,remote,100,Academy Awards,9.869173,6.133,0.559,64.467,5.83E-06,2.10E+01
run_3_repetition_2,DONE,llama3.1:8b,remote,100,Elvis Presley,8.775875,8.2,0.363,65.7,3.96E-06,1.43E+01
run_18_repetition_6,DONE,phi3:3.8b,local,100,Jeffrey Dahmer,17.713146,4.28,85.08,75.32,1.92E-05,6.93E+01
run_24_repetition_21,DONE,qwen2:1.5b,local,100,Titanic,8.774473,10.7,78.883,62.85,3.97E-06,1.43E+01
run_7_repetition_18,DONE,gemma:2b,local,500,Donald Trump,18.807574,2.818,87.525,59.745,2.08E-05,7.50E+01
run_33_repetition_10,DONE,qwen2:7b,remote,100,Lil Wayne,9.791183,4.267,0.143,57.8,5.82E-06,2.10E+01
run_33_repetition_20,DONE,qwen2:7b,remote,100,World War II,10.975207,5.275,0.341,45.625,7.68E-06,2.77E+01
run_1_repetition_2,DONE,llama3.1:8b,local,500,Pablo Escobar,44.165079,3.362,89.994,71.815,0.0001296022907,466.5682465
run_11_repetition_16,DONE,gemma:2b,remote,1000,Harry Potter,9.85483,5.767,0.48,52.9,5.85E-06,2.11E+01
run_40_repetition_9,DONE,mistral:7b,remote,500,Abraham Lincoln,16.529274,3.578,0.171,55.233,1.70E-05,6.11E+01
run_23_repetition_13,DONE,phi3:3.8b,remote,1000,Academy Awards,12.07357,3.66,0.304,46.82,9.56E-06,3.44E+01
run_6_repetition_1,DONE,gemma:2b,local,100,Vietnam War,8.779524,8.55,86.085,65.7,3.98E-06,1.43E+01
run_36_repetition_9,DONE,mistral:7b,local,100,Nicki Minaj,19.922949,19.983,73.376,73.167,2.34E-05,8.42E+01
run_3_repetition_21,DONE,llama3.1:8b,remote,100,Brad Pitt,8.744337,29.15,2.274,52.7,3.94E-06,1.42E+01
run_17_repetition_6,DONE,gemma:7b,remote,1000,Lady Gaga,13.189513,4.267,0.297,64.75,1.14E-05,4.11E+01
run_41_repetition_14,DONE,mistral:7b,remote,1000,"Prince Philip, Duke of Edinburgh",37.635097,2.989,0.261,56.314,5.80E-05,2.09E+02
run_14_repetition_3,DONE,gemma:7b,local,1000,Jay-Z,38.783513,3.245,93.758,84.866,0.000112912514,406.4850505
run_10_repetition_22,DONE,gemma:2b,remote,500,Tupac Shakur,8.761256,15.8,0.253,58.05,3.95E-06,1.42E+01
run_7_repetition_3,DONE,gemma:2b,local,500,Albert Einstein,17.655541,3.43,96.226,66.01,1.90E-05,6.85E+01
run_0_repetition_14,DONE,llama3.1:8b,local,100,Stephen Hawking,17.658335,4.42,64.444,67.26,1.89E-05,6.82E+01
run_12_repetition_10,DONE,gemma:7b,local,100,New York City,19.914514,4,64.602,82.85,2.33E-05,8.40E+01
run_9_repetition_6,DONE,gemma:2b,remote,100,Lil Wayne,7.63228,17.9,0.488,55.7,2.09E-06,7.52E+00
run_10_repetition_14,DONE,gemma:2b,remote,500,Michael Jackson,8.766036,7.45,0.216,53.95,3.96E-06,1.43E+01
run_9_repetition_5,DONE,gemma:2b,remote,100,John F. Kennedy,7.642066,13.8,1.711,76.3,2.09E-06,7.52E+00
run_27_repetition_4,DONE,qwen2:1.5b,remote,100,Steve Jobs,7.656289,12.5,1.299,68.6,2.09E-06,7.53E+00
run_9_repetition_2,DONE,gemma:2b,remote,100,Star Wars,8.760974,7.5,0.669,55.1,3.95E-06,1.42E+01
