Rank,Topic,Link,Views_In_Millions
65,COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic,87
67,"Diana, Princess of Wales","https://en.wikipedia.org/wiki/Diana,_Princess_of_Wales",86
67,Marilyn Monroe,https://en.wikipedia.org/wiki/Marilyn_Monroe,86
69,Keanu Reeves,https://en.wikipedia.org/wiki/Keanu_Reeves,85
69,Arnold Schwarzenegger,https://en.wikipedia.org/wiki/Arnold_Schwarzenegger,85
69,How I Met Your Mother,https://en.wikipedia.org/wiki/How_I_Met_Your_Mother,85
69,Chernobyl disaster,https://en.wikipedia.org/wiki/Chernobyl_disaster,85
69,France,https://en.wikipedia.org/wiki/France,85
69,Ariana Grande,https://en.wikipedia.org/wiki/Ariana_Grande,85
75,Jennifer Aniston,https://en.wikipedia.org/wiki/Jennifer_Aniston,84
75,Breaking Bad,https://en.wikipedia.org/wiki/Breaking_Bad,84
77,"Meghan, Duchess of Sussex","https://en.wikipedia.org/wiki/Meghan,_Duchess_of_Sussex",83
77,Muhammad Ali,https://en.wikipedia.org/wiki/Muhammad_Ali,83
77,Will Smith,https://en.wikipedia.org/wiki/Will_Smith,83
80,Ted Bundy,https://en.wikipedia.org/wiki/Ted_Bundy,82
80,Pablo Escobar,https://en.wikipedia.org/wiki/Pablo_Escobar,82
80,Mila Kunis,https://en.wikipedia.org/wiki/Mila_Kunis,82
80,Vietnam War,https://en.wikipedia.org/wiki/Vietnam_War,82
80,Mark Zuckerberg,https://en.wikipedia.org/wiki/Mark_Zuckerberg,82
85,Manchester United F.C.,https://en.wikipedia.org/wiki/Manchester_United_F.C.,81
85,William Shakespeare,https://en.wikipedia.org/wiki/William_Shakespeare,81
87,Titanic,https://en.wikipedia.org/wiki/Titanic,80
87,Tom Brady,https://en.wikipedia.org/wiki/Tom_Brady,80
87,Jay-Z,https://en.wikipedia.org/wiki/Jay-Z,80
87,Singapore,https://en.wikipedia.org/wiki/Singapore,80
87,Earth,https://en.wikipedia.org/wiki/Earth,80
87,Bill Gates,https://en.wikipedia.org/wiki/Bill_Gates,80
93,Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill,78
93,Bruce Lee,https://en.wikipedia.org/wiki/Bruce_Lee,78
93,Nicki Minaj,https://en.wikipedia.org/wiki/Nicki_Minaj,78
93,Israel,https://en.wikipedia.org/wiki/Israel,78
97,"Princess Margaret, Countess of Snowdon","https://en.wikipedia.org/wiki/Princess_Margaret,_Countess_of_Snowdon",77
97,John Cena,https://en.wikipedia.org/wiki/John_Cena,77
97,Charles Manson,https://en.wikipedia.org/wiki/Charles_Manson,77
97,Ryan Reynolds,https://en.wikipedia.org/wiki/Ryan_Reynolds,77
97,Brad Pitt,https://en.wikipedia.org/wiki/Brad_Pitt,77
97,Vladimir Putin,https://en.wikipedia.org/wiki/Vladimir_Putin,77
